year,fdi_inward_flow_q25,fdi_inward_flow_median,fdi_inward_flow_q75,fdi_pct_inward_flow_q25,fdi_pct_inward_flow_median,fdi_pct_inward_flow_q75,fdi_gdp_inward_flow_q25,fdi_gdp_inward_flow_median,fdi_gdp_inward_flow_q75,fdi_inward_flow_pct_change_q25,fdi_inward_flow_pct_change_median,fdi_inward_flow_pct_change_q75,fdi_outward_flow_q25,fdi_outward_flow_median,fdi_outward_flow_q75,fdi_pct_outward_flow_q25,fdi_pct_outward_flow_median,fdi_pct_outward_flow_q75,fdi_gdp_outward_flow_q25,fdi_gdp_outward_flow_median,fdi_gdp_outward_flow_q75,fdi_outward_flow_pct_change_q25,fdi_outward_flow_pct_change_median,fdi_outward_flow_pct_change_q75,fdi_inward_stock_q25,fdi_inward_stock_median,fdi_inward_stock_q75,fdi_pct_inward_stock_q25,fdi_pct_inward_stock_median,fdi_pct_inward_stock_q75,fdi_gdp_inward_stock_q25,fdi_gdp_inward_stock_median,fdi_gdp_inward_stock_q75,fdi_inward_stock_pct_change_q25,fdi_inward_stock_pct_change_median,fdi_inward_stock_pct_change_q75,fdi_outward_stock_q25,fdi_outward_stock_median,fdi_outward_stock_q75,fdi_pct_outward_stock_q25,fdi_pct_outward_stock_median,fdi_pct_outward_stock_q75,fdi_gdp_outward_stock_q25,fdi_gdp_outward_stock_median,fdi_gdp_outward_stock_q75,fdi_outward_stock_pct_change_q25,fdi_outward_stock_pct_change_median,fdi_outward_stock_pct_change_q75
2000,0.038,0.166,1.082,0.003,0.012,0.08,1.03,2.667,5.481,0.0,0.0,0.0,0.003,0.025,1.669,0.0,0.002,0.144,0.03,0.228,1.332,0.0,0.0,0.0,0.445,2.031,15.132,0.006,0.028,0.205,9.243,19.312,35.74,0.0,0.0,0.0,0.04,0.45,8.941,0.001,0.006,0.121,0.406,2.709,11.118,0.0,0.0,0.0
2001,0.024,0.172,1.283,0.003,0.022,0.166,0.746,2.189,4.465,-58.172,-16.378,32.03,0.002,0.017,0.423,0.0,0.002,0.062,0.023,0.166,0.86,-88.29,-32.654,48.402,0.363,2.31,15.773,0.005,0.031,0.212,10.001,20.739,36.72,0.941,7.952,18.378,0.042,0.499,10.485,0.001,0.007,0.144,0.447,2.895,11.796,0.0,7.891,24.523
2002,0.036,0.223,1.469,0.006,0.038,0.249,0.673,2.378,4.511,-61.723,-8.125,44.79,0.001,0.026,0.621,0.0,0.005,0.125,0.028,0.171,1.022,-89.989,-44.343,96.271,0.47,2.741,17.506,0.006,0.038,0.24,10.344,22.328,41.995,7.382,22.329,48.497,0.054,0.475,10.272,0.001,0.007,0.141,0.644,3.191,13.381,2.05,21.5,56.143
2003,0.046,0.332,2.092,0.008,0.06,0.381,0.807,2.244,4.971,-62.43,-4.247,72.816,0.002,0.06,0.935,0.0,0.011,0.177,0.024,0.219,1.406,-80.081,-13.196,189.723,0.542,3.1,20.376,0.006,0.034,0.224,10.472,22.74,43.68,19.662,50.324,86.882,0.079,0.631,12.257,0.001,0.007,0.133,0.775,3.037,14.174,13.448,45.943,125.463
2004,0.059,0.35,1.931,0.008,0.05,0.276,0.925,2.54,5.843,-46.177,33.413,147.317,0.001,0.054,2.192,0.0,0.006,0.241,0.02,0.206,1.554,-97.923,-1.354,250.358,0.758,3.574,24.534,0.007,0.034,0.232,11.095,25.658,38.63,31.537,72.484,142.95,0.085,0.705,17.39,0.001,0.006,0.16,0.786,3.399,15.395,27.504,72.571,181.66
2005,0.043,0.385,2.95,0.005,0.04,0.309,1.007,2.739,5.683,-32.713,49.522,247.197,0.002,0.096,3.005,0.0,0.012,0.359,0.04,0.377,2.053,-89.755,29.045,482.432,0.799,3.956,31.492,0.007,0.035,0.275,12.258,25.304,39.662,44.461,93.756,169.693,0.065,0.67,22.373,0.001,0.006,0.188,0.589,2.73,15.352,38.78,96.512,204.349
2006,0.109,0.554,5.409,0.008,0.04,0.386,1.744,3.677,7.112,8.597,154.073,416.351,0.004,0.276,5.691,0.0,0.02,0.418,0.061,0.641,2.766,-78.916,79.54,706.853,0.96,4.408,44.961,0.007,0.031,0.319,13.241,27.048,44.66,74.869,136.946,267.629,0.068,1.01,27.036,0.0,0.007,0.18,0.721,2.856,15.992,57.304,153.392,353.244
2007,0.142,0.855,6.506,0.008,0.045,0.345,2.048,4.441,8.299,43.081,222.012,645.542,0.013,0.28,7.101,0.001,0.013,0.324,0.09,0.695,3.085,-24.831,227.712,1408.302,1.376,5.95,54.842,0.008,0.033,0.306,15.969,27.627,45.243,115.873,218.937,403.349,0.086,1.195,35.002,0.0,0.006,0.188,0.792,3.501,16.594,100.639,245.647,603.858
2008,0.17,0.967,5.321,0.012,0.066,0.365,1.719,3.967,7.582,29.723,244.078,673.856,0.009,0.318,5.888,0.001,0.019,0.343,0.058,0.634,2.537,-51.027,129.553,2031.157,1.823,6.932,57.76,0.012,0.047,0.389,13.502,26.637,43.114,122.677,256.693,468.26,0.085,1.379,37.232,0.001,0.009,0.242,0.969,3.308,15.639,102.33,310.6,753.392
2009,0.129,0.718,2.983,0.011,0.062,0.258,1.194,3.137,6.503,-11.92,134.733,531.043,0.006,0.077,2.723,0.0,0.006,0.211,0.056,0.41,1.613,-74.59,83.872,834.575,2.229,7.899,61.584,0.012,0.042,0.329,17.79,32.827,50.295,157.896,310.344,608.403,0.144,1.399,29.536,0.001,0.007,0.15,1.259,4.171,21.96,147.627,427.09,1070.969
2010,0.166,0.913,3.649,0.012,0.065,0.261,1.482,2.871,6.656,-12.652,161.598,640.451,0.006,0.127,3.611,0.0,0.009,0.251,0.065,0.533,1.581,-49.324,139.82,1204.514,2.735,9.939,67.748,0.013,0.048,0.325,17.704,35.003,58.315,187.407,367.208,697.365,0.147,1.914,36.476,0.001,0.009,0.17,1.288,4.814,21.926,163.435,499.398,1104.674
2011,0.174,1.014,4.26,0.01,0.06,0.253,1.613,3.375,6.607,13.962,215.246,807.663,0.004,0.12,5.081,0.0,0.007,0.297,0.053,0.327,1.821,-42.806,164.249,1119.206,2.965,11.249,70.644,0.014,0.052,0.326,18.895,33.302,55.256,225.319,424.923,769.712,0.172,1.738,32.222,0.001,0.008,0.146,1.247,4.523,20.192,157.922,596.357,1336.303
2012,0.161,1.048,4.154,0.011,0.072,0.285,1.466,2.912,6.061,21.623,206.807,710.514,0.003,0.082,2.509,0.0,0.006,0.184,0.03,0.466,1.478,-64.192,155.771,1629.179,3.261,12.741,77.486,0.014,0.053,0.323,19.866,33.949,57.93,257.591,481.846,943.066,0.199,1.986,37.966,0.001,0.008,0.158,1.585,5.593,20.602,185.802,673.593,1812.417
2013,0.17,0.902,3.639,0.011,0.059,0.24,1.128,2.952,5.686,12.209,219.413,759.275,0.006,0.101,2.644,0.0,0.006,0.168,0.071,0.592,1.679,-77.843,112.747,1586.5,2.709,12.269,82.893,0.01,0.047,0.317,21.006,36.906,60.537,264.261,522.934,1075.96,0.163,1.614,37.153,0.001,0.006,0.14,1.878,5.759,21.449,222.977,742.053,2033.676
2014,0.16,0.894,4.43,0.011,0.061,0.301,1.146,2.739,5.952,8.657,257.27,717.512,0.004,0.071,2.818,0.0,0.005,0.188,0.043,0.495,1.425,-87.459,147.396,1758.564,2.793,12.817,78.643,0.011,0.049,0.298,19.566,36.467,61.903,284.437,550.558,1129.928,0.192,1.746,39.569,0.001,0.007,0.149,1.962,5.681,21.971,190.548,763.398,2108.261
2015,0.14,0.739,3.803,0.006,0.033,0.171,0.948,2.445,5.443,-24.682,216.299,699.708,0.005,0.082,3.26,0.0,0.004,0.175,0.057,0.431,1.437,-92.322,247.737,1213.752,2.897,13.971,80.244,0.011,0.052,0.296,21.939,39.112,68.14,282.969,532.928,1229.588,0.204,1.832,38.197,0.001,0.007,0.142,2.018,5.922,25.624,186.73,792.544,2049.292
2016,0.106,0.774,3.921,0.005,0.038,0.192,0.988,2.799,5.246,-2.855,161.506,650.596,0.005,0.076,1.012,0.0,0.005,0.065,0.029,0.319,1.392,-90.124,161.852,856.803,2.96,15.024,76.134,0.01,0.052,0.265,21.401,40.571,73.121,286.024,575.448,1327.905,0.211,1.941,39.735,0.001,0.007,0.14,1.994,6.346,26.285,196.738,814.674,2328.883
2017,0.154,0.938,4.017,0.009,0.053,0.227,1.168,2.734,4.757,18.466,224.966,810.041,0.006,0.079,2.161,0.0,0.005,0.125,0.035,0.306,1.343,-69.059,175.318,1642.742,3.469,16.208,81.122,0.01,0.048,0.242,22.607,42.868,70.25,343.146,670.608,1391.587,0.301,2.346,45.847,0.001,0.007,0.137,2.207,6.491,26.106,249.151,866.482,3110.226
2018,0.097,0.826,4.043,0.007,0.064,0.312,1.236,2.578,4.291,5.849,209.231,736.261,0.005,0.09,1.752,0.0,0.008,0.165,0.059,0.32,1.155,-90.114,126.193,1081.396,4.133,17.062,80.629,0.012,0.051,0.243,21.675,41.387,72.821,357.768,719.941,1416.587,0.319,2.561,42.889,0.001,0.008,0.134,2.156,6.337,23.486,223.215,982.565,3220.58
2019,0.1,0.873,4.409,0.006,0.053,0.266,1.009,2.565,4.414,9.216,213.203,688.934,0.003,0.077,2.032,0.0,0.006,0.153,0.038,0.335,1.316,-76.504,199.319,903.851,3.896,16.899,90.987,0.011,0.046,0.246,22.627,41.369,77.501,384.153,769.503,1514.162,0.318,2.487,45.135,0.001,0.007,0.126,2.444,6.417,26.042,275.054,1056.03,3790.877
2020,0.032,0.534,2.56,0.004,0.061,0.295,0.463,1.546,3.783,-49.328,133.163,540.027,0.001,0.044,0.867,0.0,0.007,0.134,0.01,0.194,0.813,-141.194,26.817,609.107,3.997,17.037,99.219,0.01,0.041,0.24,25.26,47.854,86.507,400.6,836.037,1532.903,0.347,2.777,49.877,0.001,0.007,0.125,2.509,7.466,32.046,310.814,1194.572,4447.638
2021,0.129,0.739,4.931,0.008,0.044,0.294,1.046,2.595,4.597,3.17,225.685,815.2,0.005,0.095,2.892,0.0,0.005,0.151,0.048,0.321,1.52,-61.9,294.476,1301.759,4.391,17.847,100.678,0.009,0.038,0.216,24.179,45.09,79.925,416.261,826.219,1720.85,0.376,3.241,51.417,0.001,0.008,0.122,2.407,7.342,26.523,321.358,1287.272,4662.904
2022,0.126,0.948,4.819,0.009,0.068,0.347,1.088,2.859,4.979,0.194,310.855,895.183,0.009,0.097,2.566,0.001,0.006,0.164,0.054,0.356,1.461,-64.783,208.404,1574.527,4.782,18.332,106.937,0.011,0.042,0.245,23.543,42.923,81.16,440.662,893.831,1764.197,0.359,3.718,52.767,0.001,0.009,0.134,2.479,6.862,26.836,332.412,1302.796,4768.092
2023,0.147,1.095,4.822,0.01,0.075,0.331,0.857,2.21,4.516,31.234,216.334,753.577,0.008,0.097,1.875,0.001,0.006,0.121,0.061,0.367,1.536,-30.809,245.0,2277.023,4.521,19.211,115.067,0.009,0.04,0.239,22.895,46.02,79.826,480.818,926.482,1933.453,0.397,3.76,59.847,0.001,0.009,0.14,2.488,6.622,26.31,355.754,1362.057,5182.231
2024,0.164,1.113,4.947,0.011,0.074,0.328,0.803,2.369,4.698,29.258,210.248,816.248,0.009,0.116,2.592,0.001,0.007,0.161,0.097,0.432,1.275,-74.714,257.85,1322.303,4.948,21.691,117.177,0.01,0.043,0.23,26.561,43.45,77.327,492.768,929.902,2006.939,0.419,4.234,55.326,0.001,0.01,0.127,2.669,6.979,26.592,392.631,1439.947,5039.274
